Round,Round_Index,Client,Class,Layer,IoU_Local_vs_Global
round_9,9,client_0,0 - zero,conv3,0.833333
round_9,9,client_0,1 - one,conv1,1.000000
round_9,9,client_0,1 - one,conv2,1.000000
round_9,9,client_0,1 - one,conv3,0.888889
round_9,9,client_0,3 - three,conv1,1.000000
round_9,9,client_0,3 - three,conv2,1.000000
round_9,9,client_0,3 - three,conv3,0.727273
round_9,9,client_1,0 - zero,conv1,1.000000
round_9,9,client_1,0 - zero,conv2,0.666667
round_9,9,client_1,0 - zero,conv3,0.555556
round_9,9,client_1,1 - one,conv1,1.000000
round_9,9,client_1,1 - one,conv2,1.000000
round_9,9,client_1,1 - one,conv3,0.888889
round_9,9,client_1,3 - three,conv1,1.000000
round_9,9,client_1,3 - three,conv2,0.750000
round_9,9,client_1,3 - three,conv3,0.666667
round_9,9,client_2,0 - zero,conv1,1.000000
round_9,9,client_2,0 - zero,conv2,1.000000
round_9,9,client_2,0 - zero,conv3,0.545455
round_9,9,client_2,1 - one,conv1,1.000000
round_9,9,client_2,1 - one,conv2,0.750000
round_9,9,client_2,1 - one,conv3,0.777778
round_9,9,client_2,3 - three,conv1,1.000000
round_9,9,client_2,3 - three,conv2,1.000000
round_9,9,client_2,3 - three,conv3,0.833333
round_9,9,client_3,0 - zero,conv1,1.000000
round_9,9,client_3,0 - zero,conv2,0.666667
round_9,9,client_3,0 - zero,conv3,1.000000
round_9,9,client_3,1 - one,conv1,1.000000
round_9,9,client_3,1 - one,conv2,0.800000
round_9,9,client_3,1 - one,conv3,0.888889
round_9,9,client_3,3 - three,conv1,1.000000
round_9,9,client_3,3 - three,conv2,1.000000
round_9,9,client_3,3 - three,conv3,0.727273
round_9,9,client_4,0 - zero,conv1,1.000000
round_9,9,client_4,0 - zero,conv2,1.000000
round_9,9,client_4,0 - zero,conv3,0.700000
round_9,9,client_4,1 - one,conv1,1.000000
round_9,9,client_4,1 - one,conv2,1.000000
round_9,9,client_4,1 - one,conv3,0.800000
round_9,9,client_4,3 - three,conv1,1.000000
round_9,9,client_4,3 - three,conv2,1.000000
round_9,9,client_4,3 - three,conv3,0.900000
round_10,10,client_0,0 - zero,conv1,1.000000
round_10,10,client_0,0 - zero,conv2,1.000000
round_10,10,client_0,0 - zero,conv3,0.750000
round_10,10,client_0,1 - one,conv1,1.000000
round_10,10,client_0,1 - one,conv2,1.000000
round_10,10,client_0,1 - one,conv3,0.777778
round_10,10,client_0,3 - three,conv1,1.000000
round_10,10,client_0,3 - three,conv2,0.500000
round_10,10,client_0,3 - three,conv3,0.800000
round_10,10,client_1,0 - zero,conv1,1.000000
round_10,10,client_1,0 - zero,conv2,1.000000
round_10,10,client_1,0 - zero,conv3,1.000000
round_10,10,client_1,1 - one,conv1,1.000000
round_10,10,client_1,1 - one,conv2,1.000000
round_10,10,client_1,1 - one,conv3,1.000000
round_10,10,client_1,3 - three,conv1,1.000000
round_10,10,client_1,3 - three,conv2,0.666667
round_10,10,client_1,3 - three,conv3,0.800000
round_10,10,client_2,0 - zero,conv1,1.000000
round_10,10,client_2,0 - zero,conv2,1.000000
round_10,10,client_2,0 - zero,conv3,1.000000
round_10,10,client_2,1 - one,conv1,1.000000
round_10,10,client_2,1 - one,conv2,1.000000
round_10,10,client_2,1 - one,conv3,1.000000
round_10,10,client_2,3 - three,conv1,1.000000
round_10,10,client_2,3 - three,conv2,1.000000
round_10,10,client_2,3 - three,conv3,0.888889
round_10,10,client_3,0 - zero,conv1,1.000000
round_10,10,client_3,0 - zero,conv2,0.666667
round_10,10,client_3,0 - zero,conv3,0.833333
round_10,10,client_3,1 - one,conv1,0.750000
round_10,10,client_3,1 - one,conv2,1.000000
round_10,10,client_3,1 - one,conv3,1.000000
round_10,10,client_3,3 - three,conv1,1.000000
round_10,10,client_3,3 - three,conv2,1.000000
round_10,10,client_3,3 - three,conv3,0.888889
round_10,10,client_4,0 - zero,conv1,1.000000
round_10,10,client_4,0 - zero,conv2,1.000000
round_10,10,client_4,0 - zero,conv3,0.666667
round_10,10,client_4,1 - one,conv1,1.000000
round_10,10,client_4,1 - one,conv2,1.000000
round_10,10,client_4,1 - one,conv3,1.000000
round_10,10,client_4,3 - three,conv1,1.000000
round_10,10,client_4,3 - three,conv2,1.000000
round_10,10,client_4,3 - three,conv3,1.000000
