Transition,Round_Index,Client,Class,Layer,IoU
round_5->round_6,5,client_4,1 - one,conv1,1.000000
round_5->round_6,5,client_4,1 - one,conv2,1.000000
round_5->round_6,5,client_4,1 - one,conv3,0.900000
round_5->round_6,5,client_4,3 - three,conv1,1.000000
round_5->round_6,5,client_4,3 - three,conv2,1.000000
round_5->round_6,5,client_4,3 - three,conv3,0.705882
round_6->round_7,6,client_0,0 - zero,conv1,1.000000
round_6->round_7,6,client_0,0 - zero,conv2,1.000000
round_6->round_7,6,client_0,0 - zero,conv3,0.777778
round_6->round_7,6,client_0,1 - one,conv1,1.000000
round_6->round_7,6,client_0,1 - one,conv2,0.750000
round_6->round_7,6,client_0,1 - one,conv3,1.000000
round_6->round_7,6,client_0,3 - three,conv1,1.000000
round_6->round_7,6,client_0,3 - three,conv2,1.000000
round_6->round_7,6,client_0,3 - three,conv3,0.800000
round_6->round_7,6,client_1,0 - zero,conv1,1.000000
round_6->round_7,6,client_1,0 - zero,conv2,0.666667
round_6->round_7,6,client_1,0 - zero,conv3,0.600000
round_6->round_7,6,client_1,1 - one,conv1,1.000000
round_6->round_7,6,client_1,1 - one,conv2,0.750000
round_6->round_7,6,client_1,1 - one,conv3,1.000000
round_6->round_7,6,client_1,3 - three,conv1,1.000000
round_6->round_7,6,client_1,3 - three,conv2,1.000000
round_6->round_7,6,client_1,3 - three,conv3,0.687500
round_6->round_7,6,client_2,0 - zero,conv1,1.000000
round_6->round_7,6,client_2,0 - zero,conv2,0.666667
round_6->round_7,6,client_2,0 - zero,conv3,0.600000
round_6->round_7,6,client_2,1 - one,conv1,1.000000
round_6->round_7,6,client_2,1 - one,conv2,0.750000
round_6->round_7,6,client_2,1 - one,conv3,1.000000
round_6->round_7,6,client_2,3 - three,conv1,1.000000
round_6->round_7,6,client_2,3 - three,conv2,1.000000
round_6->round_7,6,client_2,3 - three,conv3,0.933333
round_6->round_7,6,client_3,0 - zero,conv1,1.000000
round_6->round_7,6,client_3,0 - zero,conv2,1.000000
round_6->round_7,6,client_3,0 - zero,conv3,0.857143
round_6->round_7,6,client_3,1 - one,conv1,1.000000
round_6->round_7,6,client_3,1 - one,conv2,0.750000
round_6->round_7,6,client_3,1 - one,conv3,0.900000
round_6->round_7,6,client_3,3 - three,conv1,1.000000
round_6->round_7,6,client_3,3 - three,conv2,1.000000
round_6->round_7,6,client_3,3 - three,conv3,0.833333
round_6->round_7,6,client_4,0 - zero,conv1,1.000000
round_6->round_7,6,client_4,0 - zero,conv2,1.000000
round_6->round_7,6,client_4,0 - zero,conv3,0.857143
round_6->round_7,6,client_4,1 - one,conv1,1.000000
round_6->round_7,6,client_4,1 - one,conv2,0.600000
round_6->round_7,6,client_4,1 - one,conv3,0.900000
round_6->round_7,6,client_4,3 - three,conv1,1.000000
round_6->round_7,6,client_4,3 - three,conv2,1.000000
round_6->round_7,6,client_4,3 - three,conv3,0.857143
